Customer_ID,Name,Age,SSN,Occupation,snapshot_date,age_band,has_valid_ssn
CUS_0x1130,Elizabethr,37.0,846-60-3664,NA,2023-07-01,35-44,1
CUS_0x11d1,Jennifer Ablans,25.0,#F%$D@*&8,Mechanic,2023-07-01,25-34,0
CUS_0x11eb,Millikenw,,032-85-4630,NA,2023-07-01,55+,1
CUS_0x120c,James Regann,15.0,212-98-0232,Scientist,2023-07-01,18-24,1
CUS_0x124a,B.d,28.0,591-07-8373,Developer,2023-07-01,25-34,1
CUS_0x12ce,John McCrankz,42.0,460-15-2731,Accountant,2023-07-01,35-44,1
CUS_0x13b0,Doug Palmerl,33.0,724-94-0404,Entrepreneur,2023-07-01,25-34,1
CUS_0x13d6,Michaelk,44.0,502-34-9558,Engineer,2023-07-01,35-44,1
CUS_0x13de,Scottx,35.0,298-78-5836,Lawyer,2023-07-01,35-44,1
CUS_0x13ec,Gabriel Wildauu,55.0,840-30-6552,Engineer,2023-07-01,55+,1
CUS_0x13f6,Levinea,46.0,178-96-0125,Entrepreneur,2023-07-01,45-54,1
CUS_0x14a3,Prustyx,,642-06-3189,Media_Manager,2023-07-01,55+,1
CUS_0x14b3,Georged,54.0,109-01-0234,Lawyer,2023-07-01,45-54,1
CUS_0x14b9,Silvia Aloisit,30.0,035-83-1012,Architect,2023-07-01,25-34,1
CUS_0x150c,Robd,21.0,008-81-3367,Mechanic,2023-07-01,18-24,1
CUS_0x15e7,Yimou Leeh,16.0,948-92-5850,Media_Manager,2023-07-01,18-24,1
CUS_0x1647,Caroline Valetkevitchb,19.0,747-79-7877,Lawyer,2023-07-01,18-24,1
CUS_0x165e,Schnurrn,30.0,185-36-2802,Doctor,2023-07-01,25-34,1
CUS_0x17e8,Koh Guii,35.0,092-76-3178,Mechanic,2023-07-01,35-44,1
CUS_0x17f0,Luke Jeffsl,26.0,097-85-1090,Scientist,2023-07-01,25-34,1
CUS_0x182d,Smiths,26.0,344-73-9102,Entrepreneur,2023-07-01,25-34,1
CUS_0x184c,Goelr,21.0,330-09-7564,NA,2023-07-01,18-24,1
CUS_0x1863,Vinocurw,54.0,316-92-2785,Manager,2023-07-01,45-54,1
CUS_0x193b,Guiy,16.0,044-37-0803,Lawyer,2023-07-01,18-24,1
CUS_0x1986,Kaori Kanekot,53.0,136-39-0495,Teacher,2023-07-01,45-54,1
CUS_0x1a16,Leahb,34.0,316-83-4105,NA,2023-07-01,25-34,1
CUS_0x1a44,Alanp,44.0,990-15-5111,Mechanic,2023-07-01,35-44,1
CUS_0x1aeb,Dane,19.0,256-19-0938,Teacher,2023-07-01,18-24,1
CUS_0x1b71,Sonali Paulk,29.0,899-16-9688,Architect,2023-07-01,25-34,1
CUS_0x1c79,Lashb,45.0,699-49-5543,Engineer,2023-07-01,45-54,1
CUS_0x1d7b,Svea Herbst-Baylissq,19.0,512-27-0955,Engineer,2023-07-01,18-24,1
CUS_0x1dad,C.o,22.0,021-69-2391,Architect,2023-07-01,18-24,1
CUS_0x1e51,Raymondl,32.0,887-23-0031,Entrepreneur,2023-07-01,25-34,1
CUS_0x1ec5,Jonathan Leffd,34.0,042-68-5885,Accountant,2023-07-01,25-34,1
CUS_0x1f04,rob,38.0,387-02-5364,Manager,2023-07-01,35-44,1
CUS_0x2038,Daria Sito-Sucicd,33.0,563-29-1145,NA,2023-07-01,25-34,1
CUS_0x2064,Terry Baynesh,20.0,431-84-9907,Scientist,2023-07-01,18-24,1
CUS_0x2112,Leungi,32.0,#F%$D@*&8,Writer,2023-07-01,25-34,0
CUS_0x2184,Goldsteinv,18.0,496-44-5947,Media_Manager,2023-07-01,18-24,1
CUS_0x21e4,Clairey,28.0,677-77-2825,Entrepreneur,2023-07-01,25-34,1
CUS_0x2243,Kevin Yaow,26.0,566-70-7188,Scientist,2023-07-01,25-34,1
CUS_0x2283,Bartr,21.0,786-14-0940,Media_Manager,2023-07-01,18-24,1
CUS_0x24af,Gilles Guillaumef,37.0,282-99-3136,Mechanic,2023-07-01,35-44,1
CUS_0x24cc,Kate Holtonv,30.0,574-39-8582,Writer,2023-07-01,25-34,1
CUS_0x24e8,Rachelle Younglaig,41.0,418-89-9094,Media_Manager,2023-07-01,35-44,1
CUS_0x24e9,Rf,31.0,990-12-9600,Manager,2023-07-01,25-34,1
CUS_0x24f8,Harryp,42.0,429-74-0774,Writer,2023-07-01,35-44,1
CUS_0x2517,Griffithsi,16.0,203-07-7505,Teacher,2023-07-01,18-24,1
