Customer_ID,Name,Age,SSN,Occupation,snapshot_date,age_band,has_valid_ssn
CUS_0x102e,Rhysn,26.0,#F%$D@*&8,Scientist,2024-04-01,25-34,0
CUS_0x109d,Langep,45.0,260-21-1290,Writer,2024-04-01,45-54,1
CUS_0x112e,Sanog,32.0,981-03-7949,Mechanic,2024-04-01,25-34,1
CUS_0x1183,Barlyna,22.0,972-42-3182,NA,2024-04-01,18-24,1
CUS_0x1220,Berkowitze,31.0,#F%$D@*&8,Architect,2024-04-01,25-34,0
CUS_0x1226,Hildebry,52.0,027-55-0167,NA,2024-04-01,45-54,1
CUS_0x1343,Aubinm,21.0,443-92-7114,Teacher,2024-04-01,18-24,1
CUS_0x13c7,Asmab,34.0,305-39-6641,Teacher,2024-04-01,25-34,1
CUS_0x13d5,Camposq,50.0,604-47-5660,Musician,2024-04-01,45-54,1
CUS_0x1422,Eva Kuehnent,16.0,#F%$D@*&8,Developer,2024-04-01,18-24,0
CUS_0x14ce,Laul,44.0,318-82-4117,Musician,2024-04-01,35-44,1
CUS_0x1528,Foow,44.0,770-63-1122,Entrepreneur,2024-04-01,35-44,1
CUS_0x1534,Ernest Scheyderi,26.0,764-41-7508,Scientist,2024-04-01,25-34,1
CUS_0x1628,Frostl,33.0,340-56-9506,Musician,2024-04-01,25-34,1
CUS_0x16cf,Aaron Sheldricka,14.0,386-77-8198,Architect,2024-04-01,18-24,1
CUS_0x16d4,Sinead Carewq,44.0,132-82-7348,Developer,2024-04-01,35-44,1
CUS_0x17fb,Sharpi,40.0,700-02-0618,Teacher,2024-04-01,35-44,1
CUS_0x18ef,Andrea Shalal-Esak,21.0,136-44-5764,Entrepreneur,2024-04-01,18-24,1
CUS_0x18f7,Emily Stephensont,41.0,498-86-5960,Musician,2024-04-01,35-44,1
CUS_0x193c,Christiaan Hetzners,25.0,933-33-8472,NA,2024-04-01,25-34,1
CUS_0x1968,Cezaryq,16.0,259-84-4594,Accountant,2024-04-01,18-24,1
CUS_0x1999,Silviob,32.0,447-57-2543,Engineer,2024-04-01,25-34,1
CUS_0x1a03,Haggetto,28.0,692-28-2431,NA,2024-04-01,25-34,1
CUS_0x1a53,Petersono,38.0,425-07-1650,Manager,2024-04-01,35-44,1
CUS_0x1a5a,Petes,36.0,225-82-5288,Lawyer,2024-04-01,35-44,1
CUS_0x1a85,Hughx,30.0,294-75-4552,Engineer,2024-04-01,25-34,1
CUS_0x1ba2,Torbatib,24.0,#F%$D@*&8,Scientist,2024-04-01,18-24,0
CUS_0x1c26,Philipo,23.0,955-54-1229,Entrepreneur,2024-04-01,18-24,1
CUS_0x1c98,Joan Biskupics,19.0,390-87-7592,Entrepreneur,2024-04-01,18-24,1
CUS_0x1cc3,David Frenchq,56.0,436-19-3706,Mechanic,2024-04-01,55+,1
CUS_0x1d15,Dominiquey,35.0,721-59-8577,Architect,2024-04-01,35-44,1
CUS_0x1d2c,Alister Bulln,42.0,281-15-6845,Architect,2024-04-01,35-44,1
CUS_0x1d4e,McCranke,37.0,182-25-5092,Journalist,2024-04-01,35-44,1
CUS_0x1dd4,Johnson Richardi,49.0,692-38-9743,Doctor,2024-04-01,45-54,1
CUS_0x1ec9,Yoko Kubotai,46.0,503-13-4318,Entrepreneur,2024-04-01,45-54,1
CUS_0x1ed2,Karen Jacobsk,25.0,443-20-1399,Journalist,2024-04-01,25-34,1
CUS_0x1ed5,Parra-Bernalo,31.0,025-32-3903,Teacher,2024-04-01,25-34,1
CUS_0x1edc,Leika Kiharaw,20.0,468-63-2688,NA,2024-04-01,18-24,1
CUS_0x1f9c,Lomi Kriely,41.0,498-47-1128,Entrepreneur,2024-04-01,35-44,1
CUS_0x1fbd,Jane Chungn,41.0,905-87-8021,Writer,2024-04-01,35-44,1
CUS_0x20db,Lukei,43.0,997-54-5719,Accountant,2024-04-01,35-44,1
CUS_0x2102,Nishant Kumarz,51.0,418-67-9689,Scientist,2024-04-01,45-54,1
CUS_0x21bb,Piersonz,50.0,814-86-7307,Teacher,2024-04-01,45-54,1
CUS_0x21c1,Roumeliotisf,53.0,#F%$D@*&8,Architect,2024-04-01,45-54,0
CUS_0x21e9,Baertleinh,24.0,802-04-2637,Journalist,2024-04-01,18-24,1
CUS_0x2258,Alex Chamberso,54.0,218-85-8418,Developer,2024-04-01,45-54,1
CUS_0x228c,Strupczewskij,26.0,927-99-0920,Teacher,2024-04-01,25-34,1
CUS_0x22d0,Soyoung Kimk,33.0,156-11-2163,Teacher,2024-04-01,25-34,1
CUS_0x22f8,Carolinej,35.0,089-37-2681,Developer,2024-04-01,35-44,1
CUS_0x234a,Wardellk,40.0,#F%$D@*&8,Doctor,2024-04-01,35-44,0
CUS_0x235a,Guttermang,22.0,830-22-8518,Architect,2024-04-01,18-24,1
CUS_0x23c8,Herbert Lashy,37.0,209-61-0204,Entrepreneur,2024-04-01,35-44,1
CUS_0x23dd,Stella Dawsonn,47.0,117-06-4475,Manager,2024-04-01,45-54,1
CUS_0x23f3,Leikae,37.0,817-24-5272,Lawyer,2024-04-01,35-44,1
CUS_0x240d,Taiga Uranakan,56.0,087-22-6137,Musician,2024-04-01,55+,1
CUS_0x2468,Alexei Oreskovicq,45.0,733-64-4265,Journalist,2024-04-01,45-54,1
CUS_0x2483,Marius Zahariap,37.0,468-18-1488,Media_Manager,2024-04-01,35-44,1
CUS_0x2484,env,19.0,781-29-3684,Musician,2024-04-01,18-24,1
CUS_0x24ae,Shalal-Esaa,51.0,959-48-9170,Entrepreneur,2024-04-01,45-54,1
CUS_0x24e3,Daniel Alvarengas,36.0,891-36-8798,Scientist,2024-04-01,35-44,1
CUS_0x24ee,Taroi,38.0,313-17-3944,Engineer,2024-04-01,35-44,1
CUS_0x2714,Tom Halsr,15.0,129-56-9147,Journalist,2024-04-01,18-24,1
CUS_0x272a,Katharinax,25.0,444-95-6664,Teacher,2024-04-01,25-34,1
CUS_0x2808,Jessica Dyec,19.0,224-39-4670,Scientist,2024-04-01,18-24,1
CUS_0x2813,John McCrankg,20.0,361-34-7350,Architect,2024-04-01,18-24,1
CUS_0x2823,Lefterisu,44.0,744-09-8974,Musician,2024-04-01,35-44,1
CUS_0x2863,Serapiow,46.0,150-77-6507,Architect,2024-04-01,45-54,1
CUS_0x2876,Schnurrr,,177-50-6419,Lawyer,2024-04-01,55+,1
CUS_0x28d0,Vlastelicaf,26.0,104-04-7236,Writer,2024-04-01,25-34,1
CUS_0x2998,C.v,41.0,586-59-6353,Lawyer,2024-04-01,35-44,1
CUS_0x29d5,"""""""""""""""rendand""""""",33.0,325-05-9932,Scientist,2024-04-01,25-34,1
CUS_0x2a2e,Kubotas,26.0,739-38-0026,Entrepreneur,2024-04-01,25-34,1
CUS_0x2b11,Janet McGurtyf,27.0,419-48-6173,Media_Manager,2024-04-01,25-34,1
CUS_0x2b2b,Mennc,24.0,216-65-5815,Scientist,2024-04-01,18-24,1
CUS_0x2bc7,Schneyere,17.0,407-94-5689,NA,2024-04-01,18-24,1
CUS_0x2c1a,Werrw,42.0,502-32-2431,Journalist,2024-04-01,35-44,1
CUS_0x2c1c,Mirna Sleimank,50.0,373-14-1116,Developer,2024-04-01,45-54,1
CUS_0x2c2b,Polansekx,29.0,444-54-5613,Entrepreneur,2024-04-01,25-34,1
CUS_0x2c51,Swetha Gopinathh,19.0,880-55-1300,Entrepreneur,2024-04-01,18-24,1
CUS_0x2c7f,Ransdellx,36.0,702-92-8891,Entrepreneur,2024-04-01,35-44,1
CUS_0x2c94,arani Krishnanw,16.0,169-58-1270,NA,2024-04-01,18-24,1
CUS_0x2cd1,Paulj,44.0,503-47-3701,Accountant,2024-04-01,35-44,1
CUS_0x2ced,Katya Golubkovaz,36.0,499-65-8867,Developer,2024-04-01,35-44,1
CUS_0x2cfe,"""""""""""""""Johnb""""""",52.0,258-99-9292,Mechanic,2024-04-01,45-54,1
CUS_0x2d3e,Niklas Pollardw,43.0,771-64-8544,Architect,2024-04-01,35-44,1
CUS_0x2d84,Julienp,23.0,565-71-0473,Architect,2024-04-01,18-24,1
CUS_0x2e15,David Laguek,37.0,986-75-9097,Teacher,2024-04-01,35-44,1
CUS_0x2e22,Simpsonf,41.0,882-68-3751,Lawyer,2024-04-01,35-44,1
CUS_0x2f7e,Sabina Zawadzkif,31.0,109-48-2095,Doctor,2024-04-01,25-34,1
CUS_0x2ff3,Bullw,35.0,475-78-3962,Mechanic,2024-04-01,35-44,1
